explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad_menos_4meses;capacidad_4_y_12meses;capacidad_machos;capacidad_hembras;capacidad
ES220067200002;Pasto;Caprino;;Aisa;HUESCA;JACA;30;694093;4725390;;;Convencional;;;;10;10
ES220067200002;Pasto;Ovino;;Aisa;HUESCA;JACA;30;694093;4725390;;;Convencional;;;;315;315
ES220067200003;Pasto;Ovino;;Aisa;HUESCA;JACA;30;676793;4732890;;;Convencional;;;;840;840
ES220067200003;Pasto;Caprino;;Aisa;HUESCA;JACA;30;676793;4732890;;;Convencional;;;;10;10
ES220067200004;Pasto;Ovino;;Aisa;HUESCA;JACA;30;691893;4724790;;;Convencional;;;;1000;1000
ES220067200004;Pasto;Caprino;;Aisa;HUESCA;JACA;30;691893;4724790;;;Convencional;;;;10;10
ES220067200005;Pasto;Caprino;;Aisa;HUESCA;JACA;30;701293;4739990;;;Convencional;;;;10;10
ES220067200005;Pasto;Ovino;;Aisa;HUESCA;JACA;30;701293;4739990;;;Convencional;;;;720;720
ES220067200006;Pasto;Caprino;;Aisa;HUESCA;JACA;30;701293;4739990;;;Convencional;;;;10;10
ES220067200006;Pasto;Ovino;;Aisa;HUESCA;JACA;30;701293;4739990;;;Convencional;;;;2160;2160
ES220067200007;Pasto;Ovino;;Aisa;HUESCA;JACA;30;698093;4732790;;;Convencional;;;;615;615
ES220067200007;Pasto;Caprino;;Aisa;HUESCA;JACA;30;698093;4732790;;;Convencional;;;;10;10
ES220067200008;Pasto;Ovino;;Aisa;HUESCA;JACA;30;697193;4731790;;;Convencional;;;;1350;1350
ES220067200008;Pasto;Caprino;;Aisa;HUESCA;JACA;30;697193;4731790;;;Convencional;;;;10;10
ES220067200009;Pasto;Ovino;;Aisa;HUESCA;JACA;30;700593;4737590;;;Convencional;;;;1420;1420
ES220067200009;Pasto;Caprino;;Aisa;HUESCA;JACA;30;700593;4737590;;;Convencional;;;;10;10
