explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad
ES440710000050;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;727565;4518648;Trashumante;Profesional;Convencional;250
ES440710000809;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;718325;4515821;Trashumante;No Profesional;Convencional;50
ES440710000810;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;717399;4515427;Trashumante;No Profesional;Convencional;60
ES440710000811;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;717944;4515535;Estante;No Profesional;Convencional;50
ES440710000813;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;721604;4516201;Trashumante;No Profesional;Convencional;70
ES440710000814;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;720576;4517427;Estante;No Profesional;Convencional;22
ES440710000815;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;725694;4519297;Trashumante;No Profesional;Convencional;30
ES440710011002;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;719888;4511680;Trashumante;Profesional;Convencional;300
ES440710011004;Producción y reproducción;Abejas;Producción productos apícolas ;Castellote;TERUEL;ALCORISA;30;724665;4518797;Trashumante;No Profesional;Convencional;75
ES440740011001;Producción y reproducción;Abejas;Producción productos apícolas ;Cedrillas;TERUEL;TERUEL;30;686365;4475829;Trashumante;No Profesional;Convencional;50
ES440760000812;Producción y reproducción;Abejas;Producción productos apícolas ;Cella;TERUEL;CELLA;30;638831;4478884;Trashumante;No Profesional;Convencional;122
ES440760000815;Producción y reproducción;Abejas;Producción productos apícolas ;Cella;TERUEL;CELLA;30;641154;4480016;Trashumante;No Profesional;;20
ES440800011001;Producción y reproducción;Abejas;Producción productos apícolas ;Codoñera (La);TERUEL;ALCAÑIZ;30;762368;4536036;Trashumante;No Profesional;Convencional;20
ES440840000007;Producción y reproducción;Abejas;Producción productos apícolas ;Cortes de Aragón;TERUEL;MUNIESA;30;684759;4537593;Trashumante;No Profesional;Convencional;24
ES440860011002;Producción y reproducción;Abejas;Producción productos apícolas ;Cretas;TERUEL;VALDERROBRES;31;268022;4533999;Trashumante;Profesional;Convencional;150
ES440920000801;Producción y reproducción;Abejas;Producción productos apícolas ;Cuervo (El);TERUEL;TERUEL;30;641639;4447616;Estante;No Profesional;Convencional;75
ES440920000802;Producción y reproducción;Abejas;Producción productos apícolas ;Cuervo (El);TERUEL;TERUEL;30;637708;4444449;Estante;No Profesional;Convencional;96
ES440930011001;Producción y reproducción;Abejas;Producción productos apícolas ;Cuevas de Almudén;TERUEL;MONTALBÁN;30;685955;4511932;Trashumante;No Profesional;Convencional;150
ES440960000010;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;702041;4518496;Trashumante;No Profesional;Convencional;30
ES440960000011;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;711209;4516641;Trashumante;No Profesional;Convencional;170
ES440960000018;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;708241;4517003;Trashumante;Profesional;Convencional;200
ES440960000019;Producción y reproducción;Abejas;Mixta;Ejulve;TERUEL;ANDORRA;30;705877;4515393;Trashumante;No Profesional;Convencional;100
ES440960000021;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;703709;4514378;Trashumante;Profesional;Convencional;160
ES440960011001;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;707284;4519335;Trashumante;Profesional;Convencional;175
ES440960011003;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;710007;4518031;Trashumante;No Profesional;Convencional;20
ES440960011004;Producción y reproducción;Abejas;Producción productos apícolas ;Ejulve;TERUEL;ANDORRA;30;709677;4510518;Trashumante;No Profesional;Convencional;100
ES440990000011;Producción y reproducción;Abejas;Producción productos apícolas ;Escucha;TERUEL;MONTALBÁN;30;681132;4516107;Trashumante;Profesional;Convencional;1000
ES441000000001;Producción y reproducción;Abejas;Mixta;Estercuel;TERUEL;ANDORRA;30;697385;4524734;Trashumante;No Profesional;Convencional;100
ES441000011001;Producción y reproducción;Abejas;Producción productos apícolas ;Estercuel;TERUEL;ANDORRA;30;699014;4529601;Trashumante;No Profesional;Convencional;100
ES441030011001;Producción y reproducción;Abejas;Producción productos apícolas ;Formiche Alto;TERUEL;MORA DE RUBIELOS;30;678162;4467746;Trashumante;No Profesional;Convencional;20
ES441030011002;Producción y reproducción;Abejas;Producción productos apícolas ;Formiche Alto;TERUEL;MORA DE RUBIELOS;30;679908;4469336;Trashumante;No Profesional;Convencional;20
ES441030011003;Producción y reproducción;Abejas;Producción productos apícolas ;Formiche Alto;TERUEL;MORA DE RUBIELOS;30;676540;4465306;Trashumante;Profesional;;550
ES441060000803;Producción y reproducción;Abejas;Producción productos apícolas ;Fortanete;TERUEL;CANTAVIEJA;30;710929;4483666;Trashumante;Profesional;Convencional;165
ES441070000901;Producción y reproducción;Abejas;Mixta;Foz-Calanda;TERUEL;ALCAÑIZ;30;727668;4531965;Trashumante;Profesional;Convencional;300
ES441070000902;Producción y reproducción;Abejas;Mixta;Foz-Calanda;TERUEL;ALCAÑIZ;30;729011;4533266;Trashumante;Profesional;;300
ES441100000002;Producción y reproducción;Abejas;Producción productos apícolas ;Fuenferrada;TERUEL;MONTALBÁN;30;668332;4525466;Estante;No Profesional;Convencional;15
ES441130000800;Producción y reproducción;Abejas;Producción productos apícolas ;Fuentes de Rubielos;TERUEL;MORA DE RUBIELOS;30;704642;4445698;Estante;No Profesional;Convencional;50
ES441130011002;Producción y reproducción;Abejas;Producción productos apícolas ;Fuentes de Rubielos;TERUEL;MORA DE RUBIELOS;30;703345;4497115;Trashumante;No Profesional;Convencional;20
ES441140000900;Producción y reproducción;Abejas;Producción productos apícolas ;Fuentespalda;TERUEL;VALDERROBRES;31;253644;4523775;Trashumante;No Profesional;Convencional;50
ES441140000901;Producción y reproducción;Abejas;Polinización;Fuentespalda;TERUEL;VALDERROBRES;30;755512;4519118;Estante;No Profesional;Convencional;35
ES441170000802;Producción y reproducción;Abejas;Producción productos apícolas ;Gea de Albarracín;TERUEL;ALBARRACÍN;30;642639;4471955;Trashumante;No Profesional;Convencional;30
ES441180000808;Producción y reproducción;Abejas;Producción productos apícolas ;Ginebrosa (La);TERUEL;ALCORISA;30;740915;4527736;Trashumante;Profesional;Convencional;440
ES441180000815;Producción y reproducción;Abejas;Producción productos apícolas ;Ginebrosa (La);TERUEL;ALCORISA;30;734381;4529127;Trashumante;Profesional;Convencional;320
ES441180011001;Producción y reproducción;Abejas;Producción productos apícolas ;Ginebrosa (La);TERUEL;ALCORISA;30;735777;4527559;Trashumante;No Profesional;Convencional;120
ES441180011002;Producción y reproducción;Abejas;Producción productos apícolas ;Ginebrosa (La);TERUEL;ALCORISA;30;739874;4529742;Trashumante;No Profesional;Convencional;25
ES441180011006;Producción y reproducción;Abejas;Producción productos apícolas ;Ginebrosa (La);TERUEL;ALCORISA;30;727312;4529529;Trashumante;No Profesional;Convencional;20
ES441230000012;Producción y reproducción;Abejas;Producción productos apícolas ;Hinojosa de Jarque;TERUEL;MONTALBÁN;30;688178;4506320;Trashumante;No Profesional;Convencional;100
ES441230000015;Producción y reproducción;Abejas;Producción productos apícolas ;Hinojosa de Jarque;TERUEL;MONTALBÁN;30;687261;4507798;Trashumante;Profesional;Convencional;760
ES441240000035;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;681341;4530623;Trashumante;No Profesional;Convencional;20
ES441240000037;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;678047;4534078;Trashumante;No Profesional;Convencional;160
ES441240000039;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;682830;4543663;Trashumante;No Profesional;Convencional;25
ES441240000040;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;683699;4530124;Trashumante;No Profesional;Convencional;40
ES441240000043;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;683878;4534962;Estante;No Profesional;Convencional;25
ES441240011001;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;680895;4529953;Trashumante;No Profesional;Convencional;100
ES441240011002;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;681910;4529254;Trashumante;No Profesional;Convencional;70
ES441240011003;Producción y reproducción;Abejas;Producción productos apícolas ;Hoz de la Vieja (La);TERUEL;MUNIESA;30;680836;4536095;Trashumante;No Profesional;Convencional;30
ES441250000113;Producción y reproducción;Abejas;Producción productos apícolas ;Huesa del Común;TERUEL;MUNIESA;30;674835;4543902;Trashumante;No Profesional;Convencional;80
ES441310000003;Producción y reproducción;Abejas;Producción productos apícolas ;Josa;TERUEL;MUNIESA;30;687329;4538577;Trashumante;No Profesional;Convencional;100
ES441350000807;Producción y reproducción;Abejas;Producción productos apícolas ;Libros;TERUEL;TERUEL;30;653196;4443172;Trashumante;No Profesional;Convencional;52
ES441350000809;Producción y reproducción;Abejas;Producción productos apícolas ;Libros;TERUEL;TERUEL;30;649354;4444700;Estante;No Profesional;Convencional;25
ES441350000810;Producción y reproducción;Abejas;Producción productos apícolas ;Libros;TERUEL;TERUEL;30;648125;4442251;Estante;No Profesional;Convencional;15
ES441350011002;Producción y reproducción;Abejas;Producción productos apícolas ;Libros;TERUEL;TERUEL;30;653804;4444300;Trashumante;No Profesional;Convencional;50
ES441370000802;Producción y reproducción;Abejas;Producción productos apícolas ;Linares de Mora;TERUEL;MORA DE RUBIELOS;30;710561;4460945;Estante;No Profesional;Convencional;30
ES441370011001;Producción y reproducción;Abejas;Producción productos apícolas ;Linares de Mora;TERUEL;MORA DE RUBIELOS;30;707180;4466026;Trashumante;No Profesional;Convencional;20
ES441380000017;Producción y reproducción;Abejas;Producción productos apícolas ;Loscos;TERUEL;CALAMOCHA;30;663330;4552615;Trashumante;Profesional;;160
ES441380000021;Producción y reproducción;Abejas;Producción productos apícolas ;Loscos;TERUEL;CALAMOCHA;30;662067;4550636;Trashumante;No Profesional;Convencional;25
ES441380000800;Producción y reproducción;Abejas;Producción productos apícolas ;Loscos;TERUEL;CALAMOCHA;30;664141;4546290;Estante;No Profesional;Convencional;30
ES441380011002;Producción y reproducción;Abejas;Producción productos apícolas ;Loscos;TERUEL;CALAMOCHA;30;660658;4547932;Trashumante;No Profesional;Convencional;12
ES441410011001;Producción y reproducción;Abejas;Producción productos apícolas ;Lledó;TERUEL;VALDERROBRES;31;270159;4536853;Trashumante;No Profesional;Convencional;100
ES441420000003;Producción y reproducción;Abejas;Producción productos apícolas ;Maicas;TERUEL;MUNIESA;30;678204;4537007;Trashumante;No Profesional;Convencional;100
ES441420000804;Producción y reproducción;Abejas;Producción productos apícolas ;Maicas;TERUEL;MUNIESA;30;677145;4535616;Trashumante;No Profesional;Convencional;80
ES441430011001;Producción y reproducción;Abejas;Producción productos apícolas ;Manzanera;TERUEL;MORA DE RUBIELOS;30;679215;4435411;Trashumante;No Profesional;Convencional;30
ES441430011003;Producción y reproducción;Abejas;Producción productos apícolas ;Manzanera;TERUEL;MORA DE RUBIELOS;30;685423;4437831;Trashumante;No Profesional;Convencional;50
ES441430011004;Producción y reproducción;Abejas;Producción productos apícolas ;Manzanera;TERUEL;MORA DE RUBIELOS;30;686865;4439274;Trashumante;Profesional;Convencional;200
ES441440000026;Producción y reproducción;Abejas;Producción productos apícolas ;Martín del Río;TERUEL;MONTALBÁN;30;679519;4523759;Trashumante;Profesional;Convencional;300
ES441440000028;Producción y reproducción;Abejas;Producción productos apícolas ;Martín del Río;TERUEL;MONTALBÁN;30;677243;4521592;Trashumante;No Profesional;Convencional;60
ES441440011001;Producción y reproducción;Abejas;Producción productos apícolas ;Martín del Río;TERUEL;MONTALBÁN;30;679571;4523933;Trashumante;No Profesional;Convencional;100
ES441450000811;Producción y reproducción;Abejas;Producción productos apícolas ;Mas de las Matas;TERUEL;ALCORISA;30;727731;4525297;Trashumante;Profesional;Convencional;200
ES441450011001;Producción y reproducción;Abejas;Producción productos apícolas ;Mas de las Matas;TERUEL;ALCORISA;30;726816;4526427;Estante;No Profesional;Convencional;16
ES441450011002;Producción y reproducción;Abejas;Producción productos apícolas ;Mas de las Matas;TERUEL;ALCORISA;30;731320;4523707;Estante;No Profesional;Convencional;30
ES441450011003;Producción y reproducción;Abejas;Producción productos apícolas ;Mas de las Matas;TERUEL;ALCORISA;30;733459;4526452;Trashumante;No Profesional;Convencional;70
ES441460000009;Producción y reproducción;Abejas;Producción productos apícolas ;Mata de los Olmos (La);TERUEL;ALCORISA;30;706517;4526784;Trashumante;No Profesional;Convencional;120
ES441460000010;Producción y reproducción;Abejas;Producción productos apícolas ;Mata de los Olmos (La);TERUEL;ALCORISA;30;708579;4527200;Estante;No Profesional;;30
ES441470000902;Producción y reproducción;Abejas;Producción productos apícolas ;Mazaleón;TERUEL;VALDERROBRES;31;256547;4549216;Trashumante;No Profesional;Convencional;51
ES441480000010;Producción y reproducción;Abejas;Producción productos apícolas ;Mezquita de Jarque;TERUEL;MONTALBÁN;30;680634;4511198;Trashumante;Profesional;Convencional;75
ES441510000022;Producción y reproducción;Abejas;Producción productos apícolas ;Molinos;TERUEL;ALCORISA;30;713186;4519959;Estante;No Profesional;Convencional;50
ES441510000023;Producción y reproducción;Abejas;Producción productos apícolas ;Molinos;TERUEL;ALCORISA;30;713266;4523843;Estante;No Profesional;Convencional;15
ES441510000802;Producción y reproducción;Abejas;Producción productos apícolas ;Molinos;TERUEL;ALCORISA;30;715213;4519905;Estante;No Profesional;Convencional;25
ES441510000803;Producción y reproducción;Abejas;Producción productos apícolas ;Molinos;TERUEL;ALCORISA;30;718333;4523049;Trashumante;No Profesional;Convencional;60
ES441510000805;Producción y reproducción;Abejas;Producción productos apícolas ;Molinos;TERUEL;ALCORISA;30;718503;4522896;Trashumante;No Profesional;Convencional;25
ES441520000801;Producción y reproducción;Abejas;Producción productos apícolas ;Monforte de Moyuela;TERUEL;CALAMOCHA;30;668692;4548160;Trashumante;No Profesional;Convencional;40
ES441520000802;Producción y reproducción;Abejas;Producción productos apícolas ;Monforte de Moyuela;TERUEL;CALAMOCHA;30;666623;4546224;Estante;No Profesional;Convencional;30
ES441530000151;Producción y reproducción;Abejas;Producción productos apícolas ;Monreal del Campo;TERUEL;MONREAL DEL CAMPO;30;642968;4513231;Trashumante;Profesional;Convencional;480
ES441530000152;Producción y reproducción;Abejas;Producción productos apícolas ;Monreal del Campo;TERUEL;MONREAL DEL CAMPO;30;636957;4518131;Trashumante;No Profesional;Convencional;20
ES441530000808;Producción y reproducción;Abejas;Producción productos apícolas ;Monreal del Campo;TERUEL;MONREAL DEL CAMPO;30;645438;4514624;Estante;No Profesional;Convencional;20
ES441530011002;Producción y reproducción;Abejas;Producción productos apícolas ;Monreal del Campo;TERUEL;MONREAL DEL CAMPO;30;638791;4518517;Trashumante;No Profesional;Convencional;25
ES441530011003;Producción y reproducción;Abejas;Producción productos apícolas ;Monreal del Campo;TERUEL;MONREAL DEL CAMPO;30;635930;4517778;Trashumante;No Profesional;Convencional;65
ES441540000903;Producción y reproducción;Abejas;Producción productos apícolas ;Monroyo;TERUEL;VALDERROBRES;30;751788;4517966;Trashumante;No Profesional;Convencional;50
ES441540011001;Producción y reproducción;Abejas;Producción productos apícolas ;Monroyo;TERUEL;VALDERROBRES;30;752663;4516637;Trashumante;Profesional;Convencional;350
ES441550000003;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;686834;4526907;Trashumante;No Profesional;Convencional;100
ES441550000005;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;686305;4530279;Trashumante;No Profesional;Convencional;30
ES441550000030;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;684056;4523385;Trashumante;Profesional;Convencional;33
ES441550000031;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;688091;4524508;Estante;No Profesional;Convencional;15
ES441550011001;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;687534;4524392;Estante;No Profesional;Convencional;20
ES441550011003;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;684210;4526987;Trashumante;No Profesional;Convencional;30
ES441550011005;Producción y reproducción;Abejas;Producción productos apícolas ;Montalbán;TERUEL;MONTALBÁN;30;687926;4520959;Trashumante;No Profesional;Convencional;50
ES441570000800;Producción y reproducción;Abejas;Producción productos apícolas ;Monterde de Albarracín;TERUEL;ALBARRACÍN;30;627940;4483399;Estante;No Profesional;Convencional;25
ES441580000020;Producción y reproducción;Abejas;Producción productos apícolas ;Mora de Rubielos;TERUEL;MORA DE RUBIELOS;30;697451;4459021;Trashumante;No Profesional;Convencional;22
ES441580000027;Producción y reproducción;Abejas;Producción productos apícolas ;Mora de Rubielos;TERUEL;MORA DE RUBIELOS;30;697451;4459021;Trashumante;No Profesional;Convencional;50
ES441580000809;Producción y reproducción;Abejas;Producción productos apícolas ;Mora de Rubielos;TERUEL;MORA DE RUBIELOS;30;688813;4457291;Estante;No Profesional;Convencional;30
ES441580011002;Producción y reproducción;Abejas;Producción productos apícolas ;Mora de Rubielos;TERUEL;MORA DE RUBIELOS;30;694019;4462431;Trashumante;No Profesional;Convencional;50
ES441580011004;Producción y reproducción;Abejas;Producción productos apícolas ;Mora de Rubielos;TERUEL;MORA DE RUBIELOS;30;694735;4455898;Trashumante;No Profesional;Convencional;30
ES441600000814;Producción y reproducción;Abejas;Producción productos apícolas ;Mosqueruela;TERUEL;MORA DE RUBIELOS;30;722681;4473541;Estante;No Profesional;Convencional;23
ES441600000817;Producción y reproducción;Abejas;Producción productos apícolas ;Mosqueruela;TERUEL;MORA DE RUBIELOS;30;722531;4468216;Trashumante;Profesional;Convencional;235
ES441600011001;Producción y reproducción;Abejas;Producción productos apícolas ;Mosqueruela;TERUEL;MORA DE RUBIELOS;30;720225;4468720;Trashumante;Profesional;Convencional;260
ES441600011002;Producción y reproducción;Abejas;Producción productos apícolas ;Mosqueruela;TERUEL;MORA DE RUBIELOS;30;717200;4468910;Trashumante;Profesional;Convencional;200
ES441610000013;Producción y reproducción;Abejas;Producción productos apícolas ;Muniesa;TERUEL;MUNIESA;30;691955;4552005;Trashumante;Profesional;Convencional;200
ES441610000033;Producción y reproducción;Abejas;Producción productos apícolas ;Muniesa;TERUEL;MUNIESA;30;688264;4557327;Trashumante;Profesional;Convencional;390
ES441610000085;Producción y reproducción;Abejas;Mixta;Muniesa;TERUEL;MUNIESA;30;685873;4552707;Trashumante;Profesional;Convencional;460
ES441610000090;Producción y reproducción;Abejas;Producción productos apícolas ;Muniesa;TERUEL;MUNIESA;30;689229;4555803;Trashumante;No Profesional;Convencional;175
ES441610000806;Producción y reproducción;Abejas;Producción productos apícolas ;Muniesa;TERUEL;MUNIESA;30;686279;4555270;Trashumante;No Profesional;Convencional;34
ES441610000809;Producción y reproducción;Abejas;Producción productos apícolas ;Muniesa;TERUEL;MUNIESA;30;687317;4541714;Trashumante;Profesional;Convencional;155
ES441610011001;Producción y reproducción;Abejas;Producción productos apícolas ;Muniesa;TERUEL;MUNIESA;30;685953;4551774;Trashumante;Profesional;Convencional;150
ES441650000800;Producción y reproducción;Abejas;Producción productos apícolas ;Nogueruelas;TERUEL;MORA DE RUBIELOS;30;700241;4456468;Trashumante;No Profesional;Convencional;40
ES441650000801;Producción y reproducción;Abejas;Producción productos apícolas ;Nogueruelas;TERUEL;MORA DE RUBIELOS;30;697722;4458279;Trashumante;No Profesional;;11
ES441650011001;Producción y reproducción;Abejas;Producción productos apícolas ;Nogueruelas;TERUEL;MORA DE RUBIELOS;30;696721;4457291;Estante;No Profesional;Convencional;15
ES441650011002;Producción y reproducción;Abejas;Producción productos apícolas ;Nogueruelas;TERUEL;MORA DE RUBIELOS;30;704107;4456607;Estante;No Profesional;Convencional;25
ES441650011003;Producción y reproducción;Abejas;Producción productos apícolas ;Nogueruelas;TERUEL;MORA DE RUBIELOS;30;701200;4455260;Trashumante;No Profesional;Convencional;50
ES441650011004;Producción y reproducción;Abejas;Producción productos apícolas ;Nogueruelas;TERUEL;MORA DE RUBIELOS;30;705401;4461760;Trashumante;No Profesional;Convencional;20
ES441670000802;Producción y reproducción;Abejas;Producción productos apícolas ;Obón;TERUEL;MUNIESA;30;693216;4530041;Trashumante;No Profesional;Convencional;100
ES441670000804;Producción y reproducción;Abejas;Producción productos apícolas ;Obón;TERUEL;MUNIESA;30;694436;4529921;Trashumante;No Profesional;Convencional;30
ES441670011001;Producción y reproducción;Abejas;Producción productos apícolas ;Obón;TERUEL;MUNIESA;30;692306;4532012;Estante;No Profesional;Convencional;24
ES441670011003;Producción y reproducción;Abejas;Producción productos apícolas ;Obón;TERUEL;MUNIESA;30;692144;4532332;Estante;No Profesional;Convencional;70
ES441670011005;Producción y reproducción;Abejas;Producción productos apícolas ;Obón;TERUEL;MUNIESA;30;694260;4530855;Trashumante;Profesional;Convencional;150
ES441690000805;Producción y reproducción;Abejas;Producción productos apícolas ;Ojos Negros;TERUEL;MONREAL DEL CAMPO;30;628691;4509091;Estante;No Profesional;Convencional;20
ES441690011004;Producción y reproducción;Abejas;Producción productos apícolas ;Ojos Negros;TERUEL;MONREAL DEL CAMPO;30;625018;4510517;Trashumante;No Profesional;;30
ES441710000802;Producción y reproducción;Abejas;Producción productos apícolas ;Olba;TERUEL;MORA DE RUBIELOS;30;699280;4444611;Trashumante;No Profesional;Convencional;80
ES441720000801;Producción y reproducción;Abejas;Producción productos apícolas ;Oliete;TERUEL;ANDORRA;30;702724;4536607;Trashumante;No Profesional;Convencional;65
ES441720000802;Producción y reproducción;Abejas;Producción productos apícolas ;Oliete;TERUEL;ANDORRA;30;702993;4542006;Trashumante;No Profesional;;30
ES441720000803;Producción y reproducción;Abejas;Producción productos apícolas ;Oliete;TERUEL;ANDORRA;30;697579;4537846;Trashumante;No Profesional;;20
ES441720011002;Producción y reproducción;Abejas;Producción productos apícolas ;Oliete;TERUEL;ANDORRA;30;702716;4536587;Trashumante;No Profesional;Convencional;20
ES441730000015;Producción y reproducción;Abejas;Producción productos apícolas ;Olmos (Los);TERUEL;ALCORISA;30;710586;4531590;Trashumante;Profesional;Convencional;200
ES441730011001;Producción y reproducción;Abejas;Producción productos apícolas ;Olmos (Los);TERUEL;ALCORISA;30;710667;4527875;Trashumante;Profesional;Convencional;350
ES441730011002;Producción y reproducción;Abejas;Producción productos apícolas ;Olmos (Los);TERUEL;ALCORISA;30;712854;4535542;Trashumante;No Profesional;Convencional;55
ES441760000001;Producción y reproducción;Abejas;Producción productos apícolas ;Palomar de Arroyos;TERUEL;MONTALBÁN;30;687568;4517338;Trashumante;No Profesional;Convencional;33
ES441760000012;Producción y reproducción;Abejas;Producción productos apícolas ;Palomar de Arroyos;TERUEL;MONTALBÁN;30;687864;4516776;Estante;No Profesional;Convencional;30
ES441760000013;Producción y reproducción;Abejas;Producción productos apícolas ;Palomar de Arroyos;TERUEL;MONTALBÁN;30;690562;4517211;Trashumante;No Profesional;Convencional;20
ES441770000802;Producción y reproducción;Abejas;Producción productos apícolas ;Pancrudo;TERUEL;ALFAMBRA;30;671943;4516035;Trashumante;No Profesional;Convencional;22
ES441770011001;Producción y reproducción;Abejas;Producción productos apícolas ;Pancrudo;TERUEL;ALFAMBRA;30;665907;4512941;Trashumante;No Profesional;;25
ES441780000803;Producción y reproducción;Abejas;Producción productos apícolas ;Parras de Castellote (Las);TERUEL;ALCORISA;30;731186;4516620;Trashumante;No Profesional;;100
ES441790000900;Producción y reproducción;Abejas;Producción productos apícolas ;Peñarroya de Tastavins;TERUEL;VALDERROBRES;31;248862;4514132;Trashumante;No Profesional;Convencional;149
ES441790011001;Producción y reproducción;Abejas;Producción productos apícolas ;Peñarroya de Tastavins;TERUEL;VALDERROBRES;30;758631;4518159;Estante;No Profesional;Convencional;45
ES441790011003;Producción y reproducción;Abejas;Producción productos apícolas ;Peñarroya de Tastavins;TERUEL;VALDERROBRES;31;252712;4515558;Trashumante;No Profesional;Convencional;20
ES441800000016;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;633397;4500337;Trashumante;Profesional;Convencional;195
ES441800000800;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;701027;4445032;Estante;No Profesional;Convencional;55
ES441800000802;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;631111;4502784;Estante;No Profesional;Convencional;30
ES441800000803;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;630134;4498742;Estante;No Profesional;Convencional;150
ES441800011002;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;631741;4502084;Trashumante;No Profesional;;25
ES441800011005;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;629094;4501420;Estante;No Profesional;Convencional;23
ES441800011006;Producción y reproducción;Abejas;Producción productos apícolas ;Peracense;TERUEL;MONREAL DEL CAMPO;30;629301;4501469;Estante;No Profesional;Convencional;25
ES441810011001;Producción y reproducción;Abejas;Producción productos apícolas ;Peralejos;TERUEL;ALFAMBRA;30;668248;4482261;Trashumante;Profesional;Convencional;300
ES441830000004;Producción y reproducción;Abejas;Producción productos apícolas ;Pitarque;TERUEL;CANTAVIEJA;30;703837;4502512;Trashumante;No Profesional;Convencional;15
ES441870011001;Producción y reproducción;Abejas;Producción productos apícolas ;Portellada (La);TERUEL;VALDERROBRES;31;252843;4529217;Trashumante;No Profesional;Convencional;100
ES441890000802;Producción y reproducción;Abejas;Mixta;Pozondón;TERUEL;ALBARRACÍN;30;635629;4492021;Trashumante;Profesional;Convencional;350
ES441900011001;Producción y reproducción;Abejas;Producción productos apícolas ;Pozuel del Campo;TERUEL;MONREAL DEL CAMPO;30;624794;4516225;Trashumante;No Profesional;Convencional;50
ES441920011002;Producción y reproducción;Abejas;Producción productos apícolas ;Puebla de Valverde (La);TERUEL;MORA DE RUBIELOS;30;681181;4454122;Trashumante;No Profesional;Convencional;20
ES441930000801;Producción y reproducción;Abejas;Producción productos apícolas ;Puertomingalvo;TERUEL;MORA DE RUBIELOS;30;715956;4458021;Estante;No Profesional;;17
ES441930000802;Producción y reproducción;Abejas;Producción productos apícolas ;Puertomingalvo;TERUEL;MORA DE RUBIELOS;30;713223;4460750;Estante;No Profesional;Convencional;15
ES441940000900;Producción y reproducción;Abejas;Producción productos apícolas ;Ráfales;TERUEL;VALDERROBRES;30;752194;4526345;Trashumante;No Profesional;Convencional;90
ES441940000901;Producción y reproducción;Abejas;Mixta;Ráfales;TERUEL;VALDERROBRES;30;749940;4522379;Trashumante;No Profesional;Convencional;60
