explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;criterio_sostenibilidad;capacidad
ES220010000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Abiego;HUESCA;BARBASTRO;30;742607;4666589;Convencional;350
ES220020000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Abizanda;HUESCA;BOLTAÑA;30;763358;4684836;Convencional;150
ES220020000401;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;763149;4684897;Convencional;40
ES220020000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Abizanda;HUESCA;BOLTAÑA;30;761237;4686067;;300
ES220027000000;Pasto;Bóvidos;;Abizanda;HUESCA;BOLTAÑA;30;764299;4684756;Convencional;
ES220027000001;Pasto;Bóvidos;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;764640;4686008;Convencional;50
ES220030000401;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Adahuesca;HUESCA;BARBASTRO;30;742187;4678707;Convencional;100
ES220060000402;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;695097;4728572;Convencional;60
ES220060000403;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;694965;4728635;Convencional;127
ES220060000405;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;694510;4725483;Convencional;100
ES220060000406;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;695318;4728358;Convencional;40
ES220067000000;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;697460;4735037;Convencional;5000
ES220067000001;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;695593;4726790;Convencional;120
ES220067000002;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;697593;4732390;Convencional;1153
ES220067000003;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;701293;4739990;Convencional;50
ES220067000004;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;694093;4725390;Convencional;65
ES220067000005;Pasto;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;695318;4728352;Convencional;40
ES220070000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;765396;4625967;Convencional;400
ES220070000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763554;4625335;Convencional;330
ES220070000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761216;4626607;Convencional;250
ES220070000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;762235;4624912;Convencional;200
ES220070000408;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Albalate de Cinca;HUESCA;MONZÓN;30;763046;4625301;Convencional;360
ES220070000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761718;4626000;Convencional;280
ES220070000411;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Albalate de Cinca;HUESCA;MONZÓN;30;763421;4623825;Convencional;175
ES220070000413;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Albalate de Cinca;HUESCA;MONZÓN;30;763326;4622821;Convencional;70
ES220070000417;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;761587;4624379;Convencional;600
ES220070000418;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;762500;4625570;Convencional;250
ES220070000423;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;765362;4626009;Convencional;251
ES220070000428;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761950;4624685;Convencional;599
ES220070000430;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763454;4623416;Convencional;100
ES220070000434;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Albalate de Cinca;HUESCA;MONZÓN;30;761780;4626360;Convencional;45
ES220070000439;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763110;4624665;Convencional;100
ES220070000440;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763130;4624648;Convencional;90
ES220070000441;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;762165;4624835;Convencional;112
ES220070000443;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Albalate de Cinca;HUESCA;MONZÓN;30;761220;4625300;Convencional;500
ES220070000447;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761720;4625070;Convencional;100
ES220070000450;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;764300;4625916;Convencional;200
ES220070000452;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;761818;4624762;Convencional;550
ES220070000453;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;761151;4626313;Convencional;1792
ES220070000455;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763475;4623553;Convencional;95
ES220070000456;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;765900;4625840;Convencional;256
ES220070000458;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763673;4624083;;573
ES220070000459;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763598;4623446;Convencional;400
ES220070000460;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;760672;4626212;;600
ES220070000461;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;761410;4624929;;569
ES220070000462;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761581;4625794;;320
ES220070009434;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;761780;4626360;;296
ES220077000001;Pasto;Bóvidos;Reproducción para producción de carne;Albalate de Cinca;HUESCA;MONZÓN;30;761947;4621989;;50
ES220077000004;Pasto;Bóvidos;Reproducción para producción de carne;Albalate de Cinca;HUESCA;MONZÓN;30;760420;4626194;;20
ES220080000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;737041;4625989;Convencional;350
ES220080000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;736542;4624805;Convencional;
ES220080000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;737075;4625230;Convencional;250
ES220080000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;737000;4625157;Convencional;309
ES220080000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;736532;4624830;Convencional;318
ES220080000411;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;737057;4623369;Convencional;500
ES220080000412;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;736842;4623590;Convencional;400
ES220080000413;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;736305;4624915;Convencional;270
ES220080000414;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;737062;4623160;Convencional;200
ES220080000415;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;736720;4623250;Convencional;180
ES220080000416;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;736825;4623163;Convencional;180
ES220080000417;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalatillo;HUESCA;SARIÑENA;30;737177;4625625;Convencional;100
ES220087000002;Pasto;Bóvidos;Reproducción para producción de carne;Albalatillo;HUESCA;SARIÑENA;30;737238;4625026;;37
ES220090000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;790728;4635496;Convencional;325
ES220090000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;793345;4637160;Convencional;172
ES220090000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;787852;4636746;Convencional;104
ES220090000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;788468;4635507;Convencional;
ES220090000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albelda;HUESCA;TAMARITE DE LITERA;30;788425;4638690;Convencional;575
ES220090000406;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;788413;4638656;Convencional;180
ES220090000407;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;786179;4638841;Convencional;15
ES220090000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;789922;4636165;Convencional;370
ES220090000414;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albelda;HUESCA;TAMARITE DE LITERA;30;787025;4637615;Convencional;167
ES220090000415;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;793270;4636700;Convencional;400
ES220090000417;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Albelda;HUESCA;TAMARITE DE LITERA;30;786230;4638841;Convencional;120
ES220090000418;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;786863;4637770;Convencional;100
ES220090000420;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;788440;4638635;Convencional;90
ES220090000423;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;788393;4638717;Convencional;90
ES220090000425;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;788420;4638665;Convencional;180
ES220090000426;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;788460;4638650;Convencional;90
ES220090000428;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albelda;HUESCA;TAMARITE DE LITERA;30;787730;4638784;Convencional;300
ES220090000429;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;790000;4634600;Convencional;150
ES220090000430;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;787050;4637630;Convencional;120
ES220090000431;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;793365;4637872;Convencional;700
ES220090000434;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;789660;4639610;Convencional;660
ES220090000436;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;789906;4639602;Convencional;500
ES220090000437;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;790082;4639802;Convencional;400
ES220090000438;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;790105;4639645;Convencional;80
ES220090000439;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;789508;4639935;Convencional;80
ES220090000442;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;790220;4636669;Convencional;995
ES220090000448;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albelda;HUESCA;TAMARITE DE LITERA;30;791414;4637800;;219
ES220090000449;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albelda;HUESCA;TAMARITE DE LITERA;30;791640;4638306;;200
ES220090000450;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;789710;4637412;;180
ES220090000619;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albelda;HUESCA;TAMARITE DE LITERA;30;790876;4637293;;50
ES220120000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albero Bajo;HUESCA;GRAÑÉN;30;717025;4654295;Convencional;
ES220120000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albero Bajo;HUESCA;GRAÑÉN;30;717010;4654320;Convencional;
ES220120000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albero Bajo;HUESCA;GRAÑÉN;30;717856;4654282;Convencional;100
ES220120000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albero Bajo;HUESCA;GRAÑÉN;30;715961;4655630;Convencional;
ES220120000406;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albero Bajo;HUESCA;GRAÑÉN;30;715241;4657844;;234
ES220130000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alberuela de Tubo;HUESCA;GRAÑÉN;30;726972;4640920;Convencional;
ES220130000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731072;4643460;Convencional;120
ES220130000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731513;4642342;Convencional;210
ES220130000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alberuela de Tubo;HUESCA;GRAÑÉN;30;728092;4642410;Convencional;
ES220130000409;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alberuela de Tubo;HUESCA;GRAÑÉN;30;728298;4642335;Convencional;580
ES220130000411;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alberuela de Tubo;HUESCA;GRAÑÉN;30;727992;4639380;Convencional;150
ES220130000414;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731985;4643183;Convencional;90
ES220130000417;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alberuela de Tubo;HUESCA;GRAÑÉN;30;730239;4641973;;600
ES220130000418;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731062;4644958;;599
ES220137000001;Pasto;Bóvidos;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;728707;4643164;;60
ES220137000002;Pasto;Bóvidos;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;728015;4640452;;25
ES220140000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá de Gurrea;HUESCA;HUESCA;30;691387;4659520;Convencional;
ES220140000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá de Gurrea;HUESCA;HUESCA;30;691442;4659608;Convencional;
ES220140000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcalá de Gurrea;HUESCA;HUESCA;30;689834;4658645;;440
ES220147000000;Pasto;Bóvidos;;Alcalá de Gurrea;HUESCA;HUESCA;30;691296;4659499;Convencional;100
ES220150000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá del Obispo;HUESCA;HUESCA;30;727860;4665175;Convencional;450
ES220150000406;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;725520;4661660;Convencional;
ES220150000407;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá del Obispo;HUESCA;HUESCA;30;727925;4659960;Convencional;
ES220150000408;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá del Obispo;HUESCA;HUESCA;30;727857;4660083;Convencional;90
ES220150000409;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá del Obispo;HUESCA;HUESCA;30;726173;4661291;Convencional;250
ES220150000411;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá del Obispo;HUESCA;HUESCA;30;726311;4662021;Convencional;45
ES220150000412;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcalá del Obispo;HUESCA;HUESCA;30;728767;4658633;;599
ES220157000001;Pasto;Bóvidos;;Alcalá del Obispo;HUESCA;HUESCA;30;724258;4662562;Convencional;10
ES220157000002;Pasto;Bóvidos;Recria de novillas;Alcalá del Obispo;HUESCA;HUESCA;30;726295;4662131;;47
ES220160000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;788480;4635284;Convencional;108
ES220160000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;785310;4645460;Convencional;200
ES220160000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787200;4646475;Convencional;270
ES220160000406;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;786870;4630571;Convencional;135
ES220160000407;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785460;4645000;Convencional;90
ES220160000408;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787190;4646442;Convencional;95
ES220160000409;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787212;4646511;Convencional;90
ES220160000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787210;4646435;Convencional;90
ES220160000411;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787235;4646505;Convencional;90
ES220160000412;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787225;4646470;Convencional;90
ES220160000415;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787971;4629481;Convencional;120
ES220160000416;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Alcampell;HUESCA;TAMARITE DE LITERA;30;785689;4639715;Convencional;35
ES220160000417;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785310;4644780;Convencional;107
ES220160000418;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;785345;4645445;Convencional;90
ES220160000419;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;785325;4645452;Convencional;100
ES220160000420;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785331;4644773;Convencional;100
ES220160000421;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;785365;4644760;Convencional;150
ES220160000422;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;781770;4645980;Convencional;50
ES220160000423;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;785300;4645460;Convencional;100
ES220160000424;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787525;4633610;Convencional;90
ES220160000425;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787175;4646485;Convencional;90
ES220160000426;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787170;4646445;Convencional;96
ES220160000427;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;781743;4645900;Convencional;50
ES220160000428;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785380;4645575;Convencional;208
ES220160000429;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785250;4645615;Convencional;104
ES220160000430;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785632;4645325;Convencional;180
ES220160000431;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787014;4630768;Convencional;100
ES220160000432;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783558;4644458;Convencional;100
ES220160000433;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785546;4645170;Convencional;90
ES220160000434;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;787475;4644943;Convencional;50
ES220160000435;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787005;4646767;Convencional;96
ES220160000436;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;786883;4646813;Convencional;96
ES220160000437;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;786893;4646679;Convencional;96
ES220160000438;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;788750;4632316;Convencional;100
ES220160000439;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785050;4645710;Convencional;240
ES220160000442;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;786334;4645412;Convencional;92
ES220160000443;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;786421;4645532;Convencional;92
ES220160000449;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;786292;4645533;Convencional;92
ES220160000450;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787224;4636101;Convencional;94
ES220160000451;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787721;4634889;Convencional;302
ES220160000452;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;788115;4629969;Convencional;270
ES220160000453;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783483;4646356;Convencional;200
ES220160000454;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783703;4646231;Convencional;200
ES220160000455;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783552;4646238;Convencional;200
ES220160000456;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783631;4646365;Convencional;200
ES220160000457;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787345;4636185;Convencional;94
ES220160000459;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;787086;4632438;Convencional;120
ES220160000460;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;786954;4632318;Convencional;120
ES220160000461;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;788208;4630186;Convencional;140
ES220160000462;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783600;4644695;Convencional;100
ES220160000463;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;785817;4645000;Convencional;108
ES220160000464;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783490;4644600;Convencional;100
ES220160000465;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;787142;4630270;Convencional;135
ES220160000466;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;787250;4645075;;600
ES220160000467;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Alcampell;HUESCA;TAMARITE DE LITERA;30;787549;4644942;;180
ES220160000468;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Alcampell;HUESCA;TAMARITE DE LITERA;30;783408;4644700;;100
