explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;criterio_sostenibilidad;capacidad
ES221190000406;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Gurrea de Gállego;HUESCA;HUESCA;30;686100;4649200;Convencional;
ES221190000416;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Gurrea de Gállego;HUESCA;HUESCA;30;686435;4653050;Convencional;600
ES221190000417;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Gurrea de Gállego;HUESCA;HUESCA;30;685828;4650205;Convencional;100
ES221190000420;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Gurrea de Gállego;HUESCA;HUESCA;30;694302;4651280;;100
ES221190000423;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Gurrea de Gállego;HUESCA;HUESCA;30;688490;4648490;;45
ES221197000001;Pasto;Bóvidos;Reproducción para producción de carne;Gurrea de Gállego;HUESCA;HUESCA;30;678619;4657122;;15
ES221220000405;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Hoz de Jaca;HUESCA;SABIÑÁNIGO;30;720550;4730000;Convencional;50
ES221227000001;Pasto;Bóvidos;;Hoz de Jaca;HUESCA;SABIÑÁNIGO;30;722185;4730450;Convencional;200
ES221240000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huerto;HUESCA;SARIÑENA;30;733205;4645060;Convencional;100
ES221240000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Huerto;HUESCA;SARIÑENA;30;725514;4641535;;599
ES221240000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huerto;HUESCA;SARIÑENA;30;736188;4648504;;400
ES221240000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Huerto;HUESCA;SARIÑENA;30;726987;4643309;;90
ES221250000406;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Huesca;HUESCA;HUESCA;30;709100;4665750;Convencional;
ES221250000411;Centro de enseñanza;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;716760;4664740;Convencional;20
ES221250000412;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;708585;4665828;Convencional;50
ES221250000414;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;715393;4665389;Convencional;473
ES221250000415;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;716192;4664825;Convencional;120
ES221250000416;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;709257;4668865;Convencional;100
ES221250000417;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Huesca;HUESCA;HUESCA;30;709007;4664605;Convencional;104
ES221250000418;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;709386;4668860;Convencional;50
ES221250000420;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;709262;4669435;Convencional;599
ES221250000422;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;709302;4668990;Convencional;250
ES221250000424;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;714357;4665100;Convencional;30
ES221250000428;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;708460;4665770;Convencional;50
ES221250000432;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;708632;4668303;;400
ES221250000433;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;709180;4669255;;420
ES221250000434;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Huesca;HUESCA;HUESCA;30;708206;4668261;;600
ES221250106280;Matadero;Bóvidos;;Huesca;HUESCA;HUESCA;30;715833;4669526;Convencional;
ES221257000000;Pasto;Bóvidos;;Huesca;HUESCA;HUESCA;30;712572;4667770;Convencional;55
ES221257000001;Pasto;Bóvidos;;Huesca;HUESCA;HUESCA;30;713323;4670226;Convencional;
ES221257000002;Pasto;Bóvidos;;Huesca;HUESCA;HUESCA;30;716431;4664736;Convencional;150
ES221257000004;Pasto;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;708374;4665324;;100
ES221257000005;Pasto;Bóvidos;Reproducción para producción de carne;Huesca;HUESCA;HUESCA;30;708820;4666706;;10
ES221259000000;Plaza de Toros permanente;Bóvidos;;Huesca;HUESCA;HUESCA;30;714414;4668675;Convencional;
ES221270000400;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Igriés;HUESCA;HUESCA;30;711593;4674490;Convencional;59
ES221270000803;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Igriés;HUESCA;HUESCA;30;713055;4678005;;314
ES221280000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;756050;4644640;Convencional;180
ES221280000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;751675;4647959;Convencional;45
ES221280000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;751974;4647687;Convencional;
ES221280000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;754013;4646188;Convencional;200
ES221280000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Ilche;HUESCA;BARBASTRO;30;754920;4644530;Convencional;1000
ES221280000407;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Ilche;HUESCA;BARBASTRO;30;751475;4645890;Convencional;
ES221280000408;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;756035;4644725;Convencional;
ES221280000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;751407;4645942;Convencional;120
ES221280000411;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Ilche;HUESCA;BARBASTRO;30;754040;4649550;Convencional;100
ES221280000412;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;752342;4642642;Convencional;100
